test,0,0.108,0.8959256914,,train,0,0.2454736842,0.9348815871
test,1,0.082,0.8963747663,,train,1,0.2449473684,0.9348302332
test,2,0.096,0.8883015068,,train,2,0.2470526316,0.9354881564
test,3,0.11,0.8785959834,,train,3,0.2430526316,0.9358251614
test,4,0.1,0.8951529862,,train,4,0.2476842105,0.934962539
test,5,0.07,0.899992761,,train,5,0.2466315789,0.9351889632
test,6,0.072,0.8969562936,,train,6,0.2464210526,0.9349960232
test,7,0.104,0.9081126157,,train,7,0.2429473684,0.9346611317
test,8,0.114,0.9019075443,,train,8,0.2441052632,0.9351656518
test,9,0.064,0.8878687848,,train,9,0.2447368421,0.9351807889
test,10,0.102,0.8815317112,,train,10,0.2451578947,0.9360709591
test,11,0.154,0.921333869,,train,11,0.2428421053,0.9414715399
test,12,0.112,0.9206001876,,train,12,0.2422105263,0.9344373553
test,13,0.116,0.8851901169,,train,13,0.2455789474,0.9357702571
test,14,0.104,0.8906930828,,train,14,0.2424210526,0.942447627
test,15,0.12,0.9057971014,,train,15,0.2448421053,0.9350160809
test,16,0.12,0.8813938289,,train,16,0.2435789474,0.9362185865
test,17,0.112,0.8826878868,,train,17,0.2432631579,0.9356727851
test,18,0.09,0.8826729661,,train,18,0.2445263158,0.9359108425
test,19,0.102,0.9086876433,,train,19,0.2463157895,0.9349499327
,,10.26,89.55,,,,24.47,93.60
,,2.04,1.27,,,,0.16,0.21
